Area name,2015,2015 Conf,2016,2016 Conf,2017,2017 Conf,2018,2018 Conf,2019,2019 Conf,2020,2020 Conf,2021,2021 Conf,2022,2022 Conf,2023,2023 Conf,2024,2024 Conf
"Barking and Dagenham",9.7,1.9,6.8,1.5,7.7,1.8,5.9,1.6,5.7,1.6,8.0,2.1,7.6,2.0,4.9,2.0,6.8,2.0,6.7,2.1
"Barnet",5.8,1.2,4.9,1.1,4.4,1.2,4.7,1.3,4.5,1.2,5.7,1.4,6.4,1.5,5.3,1.8,5.4,1.7,4.4,1.4
"Bexley",6.0,1.3,4.2,1.0,4.6,1.2,4.0,1.1,4.2,1.2,4.9,1.3,5.1,1.2,2.7,1.1,4.9,1.5,3.0,1.1
"Brent",7.1,1.4,7.1,1.5,6.3,1.6,5.3,1.5,4.7,1.4,6.5,1.9,6.4,1.9,7.0,2.4,5.7,2.3,6.8,2.4
"Bromley",4.9,1.1,4.1,1.0,4.2,1.2,4.2,1.2,3.0,0.9,4.9,1.2,4.7,1.1,2.7,1.1,5.0,1.4,3.7,1.2
"Camden",5.5,1.2,5.8,1.3,5.2,1.5,4.5,1.4,4.5,1.4,5.2,1.5,4.7,1.6,3.9,1.7,4.9,1.8,6.6,2.4
"City of London",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Croydon",5.3,1.1,5.5,1.2,7.3,1.7,5.0,1.4,5.3,1.4,6.6,1.5,6.6,1.5,4.7,1.5,5.3,1.5,5.1,1.6
"Ealing",6.1,1.2,5.7,1.2,5.1,1.4,5.5,1.6,5.4,1.5,6.4,1.6,6.7,1.6,5.2,1.8,4.9,1.9,4.6,1.5
"Enfield",5.9,1.3,6.1,1.3,6.0,1.6,5.3,1.5,6.0,1.6,7.0,1.8,7.1,1.7,5.9,2.0,5.6,1.8,4.8,1.6
"Greenwich",6.8,1.4,6.2,1.4,5.9,1.5,5.4,1.5,4.8,1.2,5.9,1.4,6.4,1.5,4.5,1.5,4.4,1.3,5.8,1.8
"Hackney",6.7,1.4,7.2,1.6,4.8,1.3,6.0,1.7,4.9,1.4,6.3,1.8,4.8,1.5,6.1,2.0,3.8,1.5,5.2,1.7
"Hammersmith and Fulham",6.1,1.3,5.9,1.3,5.5,1.6,5.5,1.6,5.0,1.6,6.3,1.8,5.2,1.6,4.2,1.8,4.8,1.8,4.9,1.7
"Haringey",6.7,1.4,6.2,1.4,6.5,1.6,5.3,1.5,4.1,1.2,6.4,1.8,5.8,1.6,5.6,1.7,4.4,1.6,6.3,2.0
"Harrow",4.5,1.0,4.8,1.1,3.8,1.1,3.6,1.1,4.3,1.3,5.9,1.6,5.9,1.4,4.2,1.5,4.7,1.6,4.2,1.4
"Havering",6.0,1.3,4.4,1.1,4.8,1.3,4.7,1.3,4.6,1.3,5.2,1.3,4.9,1.2,2.8,1.1,4.4,1.4,3.8,1.3
"Hillingdon",5.8,1.2,4.4,1.1,4.8,1.3,4.4,1.2,4.0,1.2,6.2,1.7,6.1,1.5,4.3,1.7,7.0,2.4,4.4,1.5
"Hounslow",5.1,1.1,5.3,1.2,6.0,1.6,4.9,1.5,5.0,1.5,6.4,1.7,6.3,1.5,4.9,1.7,4.4,1.6,5.0,1.7
"Islington",6.4,1.4,6.9,1.5,4.8,1.4,5.1,1.5,4.8,1.4,6.8,2.0,5.0,1.5,3.5,1.5,5.0,1.8,5.5,1.9
"Kensington and Chelsea",5.1,1.1,5.8,1.3,5.9,1.7,6.0,1.8,4.9,1.6,5.7,1.6,5.3,1.7,3.6,1.7,5.9,2.2,5.7,2.1
"Kingston upon Thames",4.9,1.1,4.4,1.1,3.8,1.1,4.9,1.4,3.2,1.0,5.1,1.3,4.3,1.1,2.3,0.9,4.6,1.4,3.4,1.2
"Lambeth",6.1,1.4,6.1,1.4,4.8,1.4,6.3,1.7,5.3,1.4,5.9,1.6,4.8,1.4,4.2,1.4,4.4,1.7,5.3,1.8
"Lewisham",6.2,1.4,6.5,1.5,4.9,1.4,4.8,1.4,4.7,1.3,5.4,1.5,5.2,1.5,4.6,1.5,4.9,1.9,6.0,1.9
"Merton",4.7,1.0,4.7,1.1,4.1,1.2,4.3,1.2,4.3,1.1,5.4,1.3,5.2,1.2,3.1,1.1,5.3,1.8,3.8,1.2
"Newham",7.5,1.5,6.1,1.4,5.6,1.6,5.6,1.7,4.8,1.4,6.3,1.9,6.0,1.8,5.9,1.9,5.0,1.9,7.9,2.3
"Redbridge",5.9,1.2,5.1,1.1,5.5,1.4,5.0,1.3,4.3,1.2,5.4,1.3,7.4,1.7,5.0,1.6,5.5,1.6,5.6,1.7
"Richmond upon Thames",4.3,1.0,3.8,0.9,4.0,1.1,3.8,1.1,2.6,0.8,4.2,1.1,4.5,1.1,2.9,1.1,4.5,1.4,3.2,1.2
"Southwark",6.7,1.4,6.4,1.4,6.2,1.6,5.9,1.6,4.8,1.3,5.7,1.5,5.0,1.4,5.7,1.8,3.9,1.5,5.5,1.9
"Sutton",5.3,1.2,4.3,1.0,5.1,1.3,4.7,1.3,4.2,1.1,5.2,1.3,5.1,1.2,3.0,1.2,4.7,1.4,3.7,1.3
"Tower Hamlets",7.6,1.6,7.9,1.7,8.0,2.1,5.6,1.7,5.4,1.6,6.9,2.0,5.9,1.8,4.6,2.0,6.3,2.2,6.1,2.1
"Waltham Forest",6.5,1.5,5.9,1.3,5.2,1.4,4.0,1.2,5.2,1.4,7.7,1.9,6.6,1.6,5.9,1.9,5.3,1.7,4.2,1.3
"Wandsworth",5.0,1.1,4.7,1.1,3.7,1.2,3.9,1.2,3.5,1.1,5.0,1.4,4.3,1.3,2.5,1.1,4.0,1.5,4.6,1.7
"Westminster",6.3,1.3,6.1,1.4,5.6,1.6,4.9,1.5,4.2,1.4,6.1,1.8,5.0,1.6,3.4,1.5,5.0,2.0,5.0,1.8



"-","These figures are missing."

"","Unemployment estimates for local authority areas except county councils are"
"","model-based."
"","Estimates for other geography types are not model-based and are taken"
"","directly from"
"","the Annual Population Survey dataset."
"",""

"Model-based estimates of unemployment"
"ONS Crown Copyright Reserved [from Nomis on 23 April 2025]"
"Analysis   :","standard"
"Item Name  :","Unemployment rate (model based)"
"Confidence :","95% confidence interval (+/-)"


